dlnGDP,dlnC,dlnIG,dlnIP,dlnCG,dlnEx,dlnIm,dlnEL,dlnpL,dlnpE,dlnpZ,dlnpEF,dlnO_ann,dlnE,dlnY_RoW,dlnpZ_RoW,dlnpO_RoW,dlnEF_ann,dlnER_ann,dlnEY_ann,dlnEZ_ann,dlnKZ_ann,dlnKE_ann,dlnu,devGDP,devC,devIG,devIP,devCG,devEx,devIm,devEL,devpL,devpE,devpZ,devpEF,devO_ann,devE,devY_RoW,devpZ_RoW,devpO_RoW,devu,devEF_ann,devER_ann,devEY_ann,devEZ_ann,devKZ_ann,devKE_ann,devZe_RoW,devPiY,devPiY_RoW,devR,devRB,devRW,devRER
2.142871987,0.556090316,1.906312267,13.54209439,1.836749729,13.67428668,11.64159109,0.548465778,2.108225185,-4.324488003,0.661186605,-0.373986951,NaN,1.978645006,0.346665991,-0.69138378,-1.33172787,NaN,NaN,NaN,NaN,NaN,NaN,3.526987009,-3.761609198,-3.751624201,-5.464644959,-7.460256663,-0.84151812,3.410177351,1.788594492,-0.8419809,-1.579299407,-13.68292451,3.282032169,-2.096368801,NaN,-1.270627533,-0.852648156,-1.119174282,-7.373789019,2.27850151,NaN,NaN,NaN,NaN,NaN,NaN,1.788594492,-2.630459818,0.24575104,1.029486568,-0.2485502,-0.040169669,6.206306995
3.465712635,6.268545812,2.520478735,15.00328221,-4.758062144,-3.244781275,5.607366207,0.194717073,2.115361518,-2.037220836,0.01438351,-4.899870284,1.981925195,2.333705683,0.24296448,-0.317278843,-1.050502158,10.24029748,1.449233404,4.985142842,13.50956962,4.979255729,-1.938889448,-0.575609748,-1.245883101,1.608572211,-2.581551987,4.368896093,-6.088972115,-0.849847915,4.88276774,-0.687786305,-0.064878767,-15.50889046,3.215789021,-7.752814539,-2.419251291,-0.081044954,-0.737767922,-1.244222554,-9.861979829,1.282244382,-2.232879993,1.534004677,-5.526321497,2.728879273,-2.949821824,-4.593553674,4.88276774,-2.281592623,-0.157245802,-0.295473997,-2.851619529,0.025428589,0.454517658
0.276241013,0.513574801,-13.43493887,7.985096829,5.238929404,-1.039866501,3.387913949,-0.187404318,1.550359663,-1.239188068,-1.574464832,-4.982756656,NaN,-0.820623013,0.239731218,-0.620603279,1.487887125,NaN,NaN,NaN,NaN,NaN,NaN,-1.169896212,-1.965768505,1.183392664,-15.90684315,9.152608873,-1.413128404,-2.909388085,5.777820246,-0.934299467,0.83156321,-16.62228549,1.602139255,-13.5489028,NaN,-2.090625153,-0.630504699,-1.701799433,-9.928704093,-0.26608771,NaN,NaN,NaN,NaN,NaN,NaN,5.777820246,-0.011431296,0.308752707,0.130314971,-3.537890147,-0.014129763,4.298227199
0.502351095,1.483726537,-4.435890506,3.160682509,-5.538687477,1.994883252,1.708294772,0.707785737,-2.034082122,8.687800383,-1.191153885,-2.864593733,NaN,0.288310603,0.419677055,0.490486148,1.685861152,NaN,NaN,NaN,NaN,NaN,NaN,2.50621292,-2.491054528,1.712879297,-20.48917627,9.141762707,-7.584570147,-1.925704048,5.047657019,-0.30152071,-1.898293439,-7.908356141,0.409609316,-17.30920923,NaN,-3.028684105,-0.345927715,-1.078093739,-9.904246375,1.909808923,NaN,NaN,NaN,NaN,NaN,NaN,5.047657019,-1.422993442,0.73231969,0.136833583,-2.384959771,0.049349983,-1.460723764
-0.465837413,-3.886238725,1.852251634,-3.139322389,0.773046777,1.18056048,-3.105043865,-0.094937066,-2.30882393,3.474951943,-1.156087306,-3.335623416,NaN,-0.328828676,-0.176031874,0.234734149,3.845751426,NaN,NaN,NaN,NaN,NaN,NaN,2.13826356,-4.000181978,-3.128905119,-19.03263954,2.912156597,-7.509037735,-1.73314583,-0.41098061,-0.484090723,-4.934148496,-4.510752592,-0.714679343,-21.64008335,NaN,-4.612566351,-0.657545999,-0.739485959,-7.810354294,3.771950189,NaN,NaN,NaN,NaN,NaN,NaN,-0.41098061,0.454528372,-0.084734747,-0.27935283,-1.831583433,0.022796364,-3.729847673
0.094358515,-1.23883246,8.741345959,-2.844828663,7.99663465,1.480185446,1.774406363,0.247786884,0.215701389,0.349170033,-1.408737123,5.400875634,-0.739703675,-0.340000452,0.100598338,0.446736245,6.525227589,-3.740379258,0.084069902,0.655521785,-3.520608135,-1.444761295,-5.220139657,0.671132218,-4.947351724,-5.311479833,-10.91665707,-2.896034852,-0.265028716,-1.201839628,-0.877997774,-0.333102134,-5.46494816,-4.341278889,-2.063333304,-17.34033505,-4.176229426,-6.225683105,-0.690658466,-0.217087248,-3.104915673,4.226034871,-8.571215522,4.501276048,-7.300295242,-2.818722719,-5.449884406,-11.04409946,-0.877997774,0.333027131,-0.250269699,0.128235541,-1.930787762,-0.058317923,-3.772410685
7.477952908,6.981281661,15.69162406,9.641580769,-0.437929798,3.788715034,6.650414826,1.999482864,5.979393857,-4.344028214,1.914645326,10.53083874,NaN,6.694476456,-0.052172854,-0.179748865,1.87609971,NaN,NaN,NaN,NaN,NaN,NaN,-4.965077496,1.510749505,0.752927797,3.951474077,3.95295995,-1.496353434,1.694128459,3.670726631,1.564180263,-0.236654766,-8.963402722,-0.064763811,-8.009313872,NaN,-0.808881551,-0.87189361,-0.347787884,-3.089126796,-0.894492103,NaN,NaN,NaN,NaN,NaN,NaN,3.670726631,-4.302126572,0.079847014,-0.977080234,-2.66446407,-0.094751099,1.413985532
0.903294049,1.874226941,-0.562520051,8.523856185,-5.132875137,-1.615051712,2.586578389,-0.523354348,0.739882691,7.863004226,-0.745558633,10.78769572,NaN,0.508720373,0.305852167,0.215152844,6.192548527,NaN,NaN,NaN,NaN,NaN,NaN,0.325304568,1.438875359,1.755533391,2.405673722,9.900672891,-7.448885157,-0.73977747,4.323459321,0.93719464,-0.234185837,-1.470231457,-0.705711199,1.497898193,NaN,-1.56499949,-0.687250649,-0.108468442,1.231937366,-0.663156928,NaN,NaN,NaN,NaN,NaN,NaN,4.323459321,-0.023600458,0.501270624,-1.265392564,-2.402654331,-0.1541916,0.8274304
2.389169945,2.252486512,8.173312921,4.216920946,5.840430863,4.495347418,4.42951223,-0.053336561,3.446787654,4.553701775,-0.581135574,3.044126949,NaN,1.539050564,0.214358614,0.314457594,10.39191195,NaN,NaN,NaN,NaN,NaN,NaN,1.204118769,2.919623277,3.199565123,9.471791329,11.80108862,-2.438929702,3.02731006,7.012787985,0.781789749,2.507308773,2.634164087,-1.1646619,3.203905336,NaN,-1.26004991,-0.582498651,0.207224094,9.772470458,0.508913617,NaN,NaN,NaN,NaN,NaN,NaN,7.012787985,-0.643648391,-0.23031961,-1.239516514,-2.196367441,-0.187793644,3.488462935
4.00632389,5.039318038,-0.862769098,3.76916884,6.056673405,4.563266958,5.698139683,-0.323774919,3.23822749,-6.292536232,0.638322672,1.464796405,1.334841202,6.59202428,0.470081237,0.284954458,4.176778114,12.28332292,-0.661588603,12.72039409,7.864983974,7.867512021,12.20442803,0.714796424,6.105434692,7.510411622,7.412280734,13.55039765,2.79654787,6.97007542,11.18752148,0.359917448,5.090944322,-4.173968676,-0.389253107,3.295039541,-3.955849572,4.147489575,-0.206242404,0.472499606,12.14848429,1.254438545,1.216355837,6.723994443,3.147173326,3.26740999,1.364694605,-0.104683467,11.18752148,-1.043894492,0.422937207,-1.318142951,-2.280492272,-0.14679008,6.123771672
2.532133231,1.580180464,1.301679653,5.344668338,6.169624776,0.251420959,2.017188914,0.278902411,2.435219116,4.616729195,1.135480542,2.659310112,NaN,2.701047771,0.560045702,0.119405547,0.161786175,NaN,NaN,NaN,NaN,NaN,NaN,-2.836921775,7.924303622,8.456920732,7.45612167,17.2014833,8.175879114,6.724024963,11.91681385,0.546612811,6.939285917,-0.127589698,0.896270337,4.565236378,NaN,5.733335134,0.280303031,0.553200572,10.58452203,-1.488440513,NaN,NaN,NaN,NaN,NaN,NaN,11.91681385,-1.330832748,-0.151948419,-1.835854705,-2.067481337,-0.112304717,6.861198193
1.270230023,-0.041636662,-4.849555389,3.007369431,-2.24433226,-2.415449265,0.509935607,0.594467851,-0.90217834,7.497111282,-2.743260718,2.75098176,NaN,-0.131752922,0.432971706,0.350937115,2.361851045,NaN,NaN,NaN,NaN,NaN,NaN,3.040069619,8.604040244,7.88653584,1.311446627,18.86270985,5.19203051,3.945050061,11.38610261,1.056458388,5.531775954,6.758563027,-1.685691881,5.929685706,NaN,4.572736798,0.664771193,0.84800041,11.31244899,1.708739499,NaN,NaN,NaN,NaN,NaN,NaN,11.38610261,2.236667018,0.132137388,-1.543077437,-1.186254636,0.008797044,-2.935243279
-2.410167622,-4.997272093,2.29173187,0.187750322,0.222496935,-2.013666201,-6.965020299,0.149977745,-2.704231728,1.361003848,-0.237115883,-0.0652909,NaN,-1.08114716,0.30741202,-0.240767292,-3.112287851,NaN,NaN,NaN,NaN,NaN,NaN,-0.744967503,5.736720155,2.470276004,2.289934114,18.0621689,4.740553248,1.70851708,3.631977211,1.130751438,2.413252922,7.482225068,-1.752515018,4.495621861,NaN,2.562591901,0.953173202,0.534910335,6.66825453,1.184633803,NaN,NaN,NaN,NaN,NaN,NaN,3.631977211,1.713267627,0.395808336,-1.272422731,0.031613511,-0.014121674,-6.145826768
0.009823891,-0.261613471,7.222629158,-4.614652365,-4.81759656,4.905035972,1.207381266,0.266100951,1.028453126,-8.785082681,0.28836151,-6.536513146,7.332527564,3.145573882,0.538945123,-0.054269007,-9.329793813,8.750058659,-1.82444852,6.309243062,9.972262634,4.922240735,4.500695654,1.466383414,5.427925023,1.899343554,8.199530716,12.81569943,-0.67395542,6.535592552,4.29897085,1.330797792,3.124492127,-1.956581683,-1.286074312,-3.380432149,2.229735806,4.889648638,1.506683173,0.39285023,-4.088305529,2.935246215,7.765965095,7.754113394,7.544993076,11.8574332,5.355549454,3.241420211,4.29897085,-0.651742023,0.57642245,-0.688871082,0.718321138,-0.043961576,-3.265658439
1.343406733,3.54018147,-6.765023277,-2.836793,6.205643806,3.492690424,6.120494555,0.00302035,2.101538361,-1.788138814,2.177045776,2.463853784,NaN,0.476011465,0.353825763,-1.211914237,-1.637265237,NaN,NaN,NaN,NaN,NaN,NaN,0.268163067,6.592853237,5.238239164,0.138592055,9.690897245,5.020395464,10.09840836,10.122701,1.27737944,5.010422729,-4.409502233,1.076724637,-2.218224322,NaN,4.666654851,1.91213424,-0.921940551,-7.048241441,3.549880848,NaN,NaN,NaN,NaN,NaN,NaN,10.122701,-1.799466377,0.5380693,0.21005895,0.582882212,0.006693787,-0.929336649
-0.87952293,-0.921201593,3.034805523,2.399800151,5.724793159,-4.648757782,-2.7825115,-0.213101327,0.602279503,3.703802229,0.733008245,4.254802968,NaN,2.107411095,0.201043343,0.769234878,4.452539113,NaN,NaN,NaN,NaN,NaN,NaN,1.096277283,5.673206899,4.220962097,1.906380004,12.12582003,10.3284932,5.666956693,7.279267216,1.016609358,5.501276609,-1.374991946,2.003851356,0.783603197,NaN,6.200547854,2.204407259,-0.270530323,-3.812767031,5.051913117,NaN,NaN,NaN,NaN,NaN,NaN,7.279267216,-0.789557807,0.057915835,0.427279344,0.413940386,0.089088343,2.083914616
-0.54701984,0.061895196,7.24952682,0.428127962,-7.802473323,-6.099915096,1.691253165,0.019459835,0.258300266,-0.590684441,-1.089215228,1.943187733,NaN,-0.439071941,0.20836461,-0.026883816,3.38631087,NaN,NaN,NaN,NaN,NaN,NaN,0.485807883,5.218512835,4.28589557,7.92948108,12.88546956,2.209762537,-0.0756882,9.131332412,0.995526072,5.751777844,-2.630175135,1.117138273,1.534647974,NaN,5.316503589,2.54495475,-0.429473343,-1.531999335,5.99758158,NaN,NaN,NaN,NaN,NaN,NaN,9.131332412,0.567246436,0.252400314,0.632237461,0.421044227,0.097395171,2.865452204
